timestep,agg_RIS,category,date,NER,NER_SA
M,Census Divisions,East North Central,2010-01-01,16197000.0,16182000.0
M,Census Divisions,East North Central,2010-02-01,16121000.0,16170000.0
M,Census Divisions,East North Central,2010-03-01,16148000.0,16161000.0
M,Census Divisions,East North Central,2010-04-01,16249000.0,16151000.0
M,Census Divisions,East North Central,2010-05-01,16355000.0,16152000.0
M,Census Divisions,East North Central,2010-06-01,16485000.0,16164000.0
M,Census Divisions,East North Central,2010-07-01,16562000.0,16193000.0
M,Census Divisions,East North Central,2010-08-01,16607000.0,16228000.0
M,Census Divisions,East North Central,2010-09-01,16606000.0,16271000.0
M,Census Divisions,East North Central,2010-10-01,16658000.0,16304000.0
M,Census Divisions,East North Central,2010-11-01,16677000.0,16336000.0
M,Census Divisions,East North Central,2010-12-01,16565000.0,16385000.0
M,Census Divisions,East North Central,2011-01-01,16472000.0,16416000.0
M,Census Divisions,East North Central,2011-02-01,16436000.0,16444000.0
M,Census Divisions,East North Central,2011-03-01,16490000.0,16461000.0
M,Census Divisions,East North Central,2011-04-01,16625000.0,16491000.0
M,Census Divisions,East North Central,2011-05-01,16739000.0,16520000.0
M,Census Divisions,East North Central,2011-06-01,16903000.0,16559000.0
M,Census Divisions,East North Central,2011-07-01,16960000.0,16592000.0
M,Census Divisions,East North Central,2011-08-01,17005000.0,16629000.0
M,Census Divisions,East North Central,2011-09-01,17010000.0,16673000.0
M,Census Divisions,East North Central,2011-10-01,17053000.0,16705000.0
M,Census Divisions,East North Central,2011-11-01,17080000.0,16737000.0
M,Census Divisions,East North Central,2011-12-01,16923000.0,16784000.0
M,Census Divisions,East North Central,2012-01-01,16869000.0,16813000.0
M,Census Divisions,East North Central,2012-02-01,16852000.0,16847000.0
M,Census Divisions,East North Central,2012-03-01,16946000.0,16891000.0
M,Census Divisions,East North Central,2012-04-01,17040000.0,16928000.0
M,Census Divisions,East North Central,2012-05-01,17134000.0,16955000.0
M,Census Divisions,East North Central,2012-06-01,17270000.0,16974000.0
M,Census Divisions,East North Central,2012-07-01,17302000.0,16985000.0
M,Census Divisions,East North Central,2012-08-01,17319000.0,16992000.0
M,Census Divisions,East North Central,2012-09-01,17321000.0,17004000.0
M,Census Divisions,East North Central,2012-10-01,17308000.0,17018000.0
M,Census Divisions,East North Central,2012-11-01,17299000.0,17036000.0
M,Census Divisions,East North Central,2012-12-01,17167000.0,17044000.0
M,Census Divisions,East North Central,2013-01-01,17122000.0,17068000.0
M,Census Divisions,East North Central,2013-02-01,17102000.0,17107000.0
M,Census Divisions,East North Central,2013-03-01,17184000.0,17142000.0
M,Census Divisions,East North Central,2013-04-01,17254000.0,17169000.0
M,Census Divisions,East North Central,2013-05-01,17421000.0,17198000.0
M,Census Divisions,East North Central,2013-06-01,17536000.0,17227000.0
M,Census Divisions,East North Central,2013-07-01,17551000.0,17255000.0
M,Census Divisions,East North Central,2013-08-01,17512000.0,17269000.0
M,Census Divisions,East North Central,2013-09-01,17484000.0,17265000.0
M,Census Divisions,East North Central,2013-10-01,17503000.0,17267000.0
